"id","NumDots","SubdomainLevel","PathLevel","UrlLength","NumDash","NumDashInHostname","AtSymbol","TildeSymbol","NumUnderscore","NumPercent","NumQueryComponents","NumAmpersand","NumHash","NumNumericChars","NoHttps","RandomString","IpAddress","DomainInSubdomains","DomainInPaths","HttpsInHostname","HostnameLength","PathLength","QueryLength","DoubleSlashInPath","NumSensitiveWords","EmbeddedBrandName","PctExtHyperlinks","PctExtResourceUrls","ExtFavicon","InsecureForms","RelativeFormAction","ExtFormAction","AbnormalFormAction","PctNullSelfRedirectHyperlinks","FrequentDomainNameMismatch","FakeLinkInStatusBar","RightClickDisabled","PopUpWindow","SubmitInfoToEmail","IframeOrFrame","MissingTitle","ImagesOnlyInForm","SubdomainLevelRT","UrlLengthRT","PctExtResourceUrlsRT","AbnormalExtFormActionR","ExtMetaScriptLinkRT","PctExtNullSelfRedirectHyperlinksRT","CLASS_LABEL"
"1","3","2","0","29","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","20","0","0","0","0","0","0.18947368421053","0.035714285714286","0","0","0","0","0","0.13684210526316","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2","1","0","1","28","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","12","0","0","0","0","0.045045045045045","0.097560975609756","0","0","0","0","0","0.036036036036036","0","0","0","1","0","0","0","0","0","-1","-1","0","0","0","0"
"3","2","1","1","35","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","20","0","6","0","0","0","0.625","0.076923076923077","0","0","0","0","0","0.000000000","0","0","0","0","0","0","0","0","1","0","-1","0","-1","0","0"
"4","2","1","1","75","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","40","0","0","0","0","0.09349593495935","0.080645161290323","0","0","0","0","0","0.016260162601626","0","0","0","0","0","1","0","0","1","-1","-1","0","-1","-1","0"
"5","1","0","0","26","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0.15277777777778","0.008695652173913","0","0","0","0","0","0.125","0","0","0","0","0","1","0","0","0","-1","-1","0","-1","1","0"
"6","2","1","2","41","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","18","0","0","0","0","0.000000000","0.076086956521739","1","0","-1","0","-1","0.033333333333333","0","0","0","0","0","1","0","0","1","0","0","-1","0","1","0"
"7","1","0","0","23","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0.025793650793651","0.022727272727273","1","0","-1","0","-1","0.000000000","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","1","0"
"8","1","0","2","53","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","11","33","0","0","0","0","0.41176470588235","0.064516129032258","0","0","0","0","0","0.029411764705882","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"9","2","1","1","27","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","3","0","0","0","1","0.058823529411765","0.125","0","0","0","0","0","0.058823529411765","0","0","0","0","0","0","0","0","1","-1","-1","0","0","1","0"
"10","2","1","4","69","3","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","28","32","0","0","0","0","0.084905660377358","0.36986301369863","1","0","0","1","0","0.066037735849057","0","0","0","0","0","1","0","0","1","-1","1","0","0","1","0"
"11","2","1","2","55","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","28","0","0","0","0","0.37037037037037","0.061538461538462","1","0","1","0","0","0.018518518518519","0","0","0","0","0","1","0","0","1","-1","0","0","0","1","0"
"12","2","1","3","51","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","17","25","0","0","0","0","0.171875","0.065573770491803","1","0","1","0","0","0.015625","0","0","0","0","0","1","0","0","1","-1","1","0","0","1","0"
"13","2","1","2","44","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","24","0","0","0","0","0.033333333333333","0.043478260869565","1","0","1","0","0","0.058333333333333","0","0","0","0","0","0","0","0","1","-1","1","0","-1","1","0"
"14","2","1","3","39","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","19","0","0","0","0","0.071698113207547","0.090909090909091","0","0","0","0","0","0.0037735849056604","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"15","1","0","2","105","14","0","0","0","0","0","1","0","0","3","1","1","0","0","0","0","7","79","10","0","0","0","0.049450549450549","0.21276595744681","0","0","1","0","0","0.0054945054945055","0","0","0","1","0","1","0","0","0","1","-1","0","-1","0","0"
"16","1","0","1","40","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","20","0","0","0","0","0.016216216216216","0.19047619047619","1","0","0","1","0","0.021621621621622","0","0","0","0","0","1","0","0","0","-1","1","0","0","1","0"
"17","2","1","4","65","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","21","35","0","0","0","1","0.02970297029703","0.1063829787234","0","0","1","0","0","0.02970297029703","0","0","0","1","0","1","0","0","1","-1","0","0","-1","1","0"
"18","2","0","2","34","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","10","0","0","0","1","0.21951219512195","0.022900763358779","0","0","0","0","-1","0.000000000","0","0","0","0","0","0","0","0","1","-1","0","-1","0","1","0"
"19","2","1","1","31","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","6","0","0","1","1","0.037037037037037","0.03030303030303","1","0","1","0","0","0.11111111111111","0","0","0","0","0","0","0","0","1","-1","1","0","-1","1","0"
